URL,Sayfa Türü,Schema Türü,Dosya Adı,Test Sonucu,Notlar
https://www.example.com,Ana Sayfa,Organization,homepage-organization.json,OK,Firma bilgileri ve sosyal medya profilleri
https://www.example.com,Ana Sayfa,WebSite,homepage-website.json,OK,SearchAction ile Sitelinks Searchbox desteği
https://www.example.com,Ana Sayfa,Merged (@graph),homepage-merged.json,OK,2 schema birleşik
https://www.example.com/products/item,Ürün Sayfası,Product,products-item-product.json,OK,Offer + AggregateRating dahil
https://www.example.com/products/item,Ürün Sayfası,BreadcrumbList,products-item-breadcrumblist.json,OK,Home > Products > Item
https://www.example.com/products/item,Ürün Sayfası,Merged (@graph),products-item-merged.json,OK,2 schema birleşik
https://www.example.com/blog/post,Blog Yazısı,BlogPosting,blog-post-blogposting.json,OK,Yazar + tarih + publisher bilgileri
https://www.example.com/blog/post,Blog Yazısı,BreadcrumbList,blog-post-breadcrumblist.json,OK,Home > Blog > Post
https://www.example.com/blog/post,Blog Yazısı,Merged (@graph),blog-post-merged.json,OK,2 schema birleşik
https://www.example.com/category,Kategori Sayfası,CollectionPage,category-collectionpage.json,OK,ItemList referansı ile bağlı
https://www.example.com/category,Kategori Sayfası,ItemList,category-itemlist.json,OK,5 öğe URL'li ListItem olarak
https://www.example.com/category,Kategori Sayfası,BreadcrumbList,category-breadcrumblist.json,OK,Home > Category
https://www.example.com/category,Kategori Sayfası,Merged (@graph),category-merged.json,OK,3 schema birleşik
https://www.example.com/faq,SSS Sayfası,FAQPage,faq-faqpage.json,OK,3 soru-cevap çifti
https://www.example.com/faq,SSS Sayfası,BreadcrumbList,faq-breadcrumblist.json,OK,Home > FAQ
https://www.example.com/faq,SSS Sayfası,Merged (@graph),faq-merged.json,OK,2 schema birleşik
https://www.example.com/contact,İletişim Sayfası,ContactPage,contact-contactpage.json,OK,Sayfa bilgileri ve referanslar
https://www.example.com/contact,İletişim Sayfası,LocalBusiness,contact-localbusiness.json,OK,Adres + GeoCoordinates + çalışma saatleri
https://www.example.com/contact,İletişim Sayfası,BreadcrumbList,contact-breadcrumblist.json,OK,Home > Contact
https://www.example.com/contact,İletişim Sayfası,Merged (@graph),contact-merged.json,OK,3 schema birleşik
https://www.example.com/about,Hakkımızda Sayfası,AboutPage,about-aboutpage.json,OK,Organization referansı ile bağlı
https://www.example.com/about,Hakkımızda Sayfası,Organization,about-organization.json,OK,Detaylı firma bilgileri
https://www.example.com/about,Hakkımızda Sayfası,BreadcrumbList,about-breadcrumblist.json,OK,Home > About
https://www.example.com/about,Hakkımızda Sayfası,Merged (@graph),about-merged.json,OK,3 schema birleşik
